,opt_list,act1_list,loss_list,filters_list,kernel_list,pool_list,ndense_list,roll_list,lb_list
0,rmsprop,relu,binary_crossentropy,8,3,2,8,15,20
1,rmsprop,relu,binary_crossentropy,8,3,2,8,15,50
2,rmsprop,relu,binary_crossentropy,8,3,2,8,15,100
3,rmsprop,relu,binary_crossentropy,8,3,2,8,30,20
4,rmsprop,relu,binary_crossentropy,8,3,2,8,30,50
5,rmsprop,relu,binary_crossentropy,8,3,2,8,30,100
6,rmsprop,relu,binary_crossentropy,8,3,2,8,50,20
7,rmsprop,relu,binary_crossentropy,8,3,2,8,50,50
8,rmsprop,relu,binary_crossentropy,8,3,2,8,50,100
9,rmsprop,relu,binary_crossentropy,8,3,2,8,100,20
10,rmsprop,relu,binary_crossentropy,8,3,2,8,100,50
11,rmsprop,relu,binary_crossentropy,8,3,2,8,100,100
12,rmsprop,relu,binary_crossentropy,8,3,2,8,200,20
13,rmsprop,relu,binary_crossentropy,8,3,2,8,200,50
14,rmsprop,relu,binary_crossentropy,8,3,2,8,200,100
15,rmsprop,relu,binary_crossentropy,8,3,2,8,500,20
16,rmsprop,relu,binary_crossentropy,8,3,2,8,500,50
17,rmsprop,relu,binary_crossentropy,8,3,2,8,500,100
18,rmsprop,relu,binary_crossentropy,8,3,2,16,15,20
19,rmsprop,relu,binary_crossentropy,8,3,2,16,15,50
20,rmsprop,relu,binary_crossentropy,8,3,2,16,15,100
21,rmsprop,relu,binary_crossentropy,8,3,2,16,30,20
22,rmsprop,relu,binary_crossentropy,8,3,2,16,30,50
23,rmsprop,relu,binary_crossentropy,8,3,2,16,30,100
24,rmsprop,relu,binary_crossentropy,8,3,2,16,50,20
25,rmsprop,relu,binary_crossentropy,8,3,2,16,50,50
26,rmsprop,relu,binary_crossentropy,8,3,2,16,50,100
27,rmsprop,relu,binary_crossentropy,8,3,2,16,100,20
28,rmsprop,relu,binary_crossentropy,8,3,2,16,100,50
29,rmsprop,relu,binary_crossentropy,8,3,2,16,100,100
30,rmsprop,relu,binary_crossentropy,8,3,2,16,200,20
31,rmsprop,relu,binary_crossentropy,8,3,2,16,200,50
32,rmsprop,relu,binary_crossentropy,8,3,2,16,200,100
33,rmsprop,relu,binary_crossentropy,8,3,2,16,500,20
34,rmsprop,relu,binary_crossentropy,8,3,2,16,500,50
35,rmsprop,relu,binary_crossentropy,8,3,2,16,500,100
36,rmsprop,relu,binary_crossentropy,8,3,2,32,15,20
37,rmsprop,relu,binary_crossentropy,8,3,2,32,15,50
