<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.16	09:00:00	55685	55775	55080	55175	45350	12266	5
2014.10.16	09:10:00	55175	55305	55110	55185	27990	7272	5
2014.10.16	09:20:00	55180	55265	54880	54915	35500	10010	5
2014.10.16	09:30:00	54920	55045	54600	54705	39060	11432	5
2014.10.16	09:40:00	54705	54880	54620	54880	36000	10872	5
2014.10.16	09:50:00	54870	55230	54825	55200	33880	9655	5
2014.10.16	10:00:00	55185	55220	55000	55110	46000	11758	5
2014.10.16	10:10:00	55100	55415	54955	55265	49060	11876	5
2014.10.16	10:20:00	55260	55335	55045	55290	42300	10445	5
2014.10.16	10:30:00	55290	55695	55250	55685	81480	19798	5
2014.10.16	10:40:00	55680	55790	55460	55575	81930	19439	5
2014.10.16	10:50:00	55580	56030	55570	56015	60830	14480	5
2014.10.16	11:00:00	56025	56080	55415	55575	87850	21355	5
2014.10.16	11:10:00	55575	55730	55280	55410	69990	17028	5
2014.10.16	11:20:00	55410	56080	55305	55805	124320	22297	5
2014.10.16	11:30:00	55805	55900	55460	55565	70210	16500	5
2014.10.16	11:40:00	55570	55925	55460	55905	64720	15167	5
2014.10.16	11:50:00	55910	55950	55440	55570	70080	16054	5
2014.10.16	12:00:00	55565	55570	55255	55285	73020	16635	5
2014.10.16	12:10:00	55285	55500	55205	55470	46650	11014	5
2014.10.16	12:20:00	55465	55875	55460	55800	60680	13953	5
2014.10.16	12:30:00	55805	55900	55295	55325	76220	17621	5
2014.10.16	12:40:00	55325	55495	55260	55285	55470	12324	5
2014.10.16	12:50:00	55290	55445	55240	55330	41460	9339	5
2014.10.16	13:00:00	55340	55655	55310	55550	38570	8626	5
2014.10.16	13:10:00	55545	55715	55445	55670	36190	8232	5
2014.10.16	13:20:00	55670	55815	55500	55560	33970	7460	5
2014.10.16	13:30:00	55555	55880	55550	55755	32620	7444	5
2014.10.16	13:40:00	55760	55820	55655	55780	29820	7161	5
2014.10.16	13:50:00	55780	55965	55700	55920	24960	5923	5
2014.10.16	14:00:00	55930	56155	55875	56125	37870	9051	5
2014.10.16	14:10:00	56130	56140	55920	55985	37950	9029	5
2014.10.16	14:20:00	55985	56195	55890	56045	41220	10011	5
2014.10.16	14:30:00	56045	56120	55980	56080	30360	7216	5
2014.10.16	14:40:00	56080	56320	56070	56115	40860	9866	5
2014.10.16	14:50:00	56120	56120	55660	55770	64380	14730	5
2014.10.16	15:00:00	55765	55825	55590	55775	47750	10991	5
2014.10.16	15:10:00	55785	55810	55385	55445	58880	14644	5
2014.10.16	15:20:00	55445	55645	55410	55510	35510	8055	5
2014.10.16	15:30:00	55515	55715	55490	55600	35840	8823	5
2014.10.16	15:40:00	55610	55665	55365	55385	36960	8479	5
2014.10.16	15:50:00	55380	55510	55300	55350	41720	9487	5
2014.10.16	16:00:00	55350	55430	55235	55270	38540	8692	5
2014.10.16	16:10:00	55275	55625	55230	55440	39030	9788	5
2014.10.16	16:20:00	55440	55565	55290	55335	37150	8405	5
2014.10.16	16:30:00	55330	55430	55160	55195	36520	9080	5
2014.10.16	16:40:00	55200	55380	55190	55265	31690	7607	5
2014.10.16	16:50:00	55280	55490	55110	55200	31830	9308	5
2014.10.16	17:00:00	55195	55200	55080	55095	18610	6556	5
2014.10.16	17:10:00	55100	55145	54935	54945	15180	4689	5
2014.10.16	17:20:00	54935	54945	54810	54825	10600	3194	5
2014.10.16	17:30:00	54820	54985	54805	54885	12260	3104	5
2014.10.16	17:40:00	54890	54925	54700	54760	9160	2429	5
2014.10.16	17:50:00	54740	54760	54635	54635	6410	3297	5
2014.10.17	09:00:00	55710	56350	55710	56110	17630	4212	5
2014.10.17	09:10:00	56105	56195	56055	56085	13210	3046	5
2014.10.17	09:20:00	56085	56175	55920	56160	23870	5050	5
2014.10.17	09:30:00	56160	56325	56085	56195	28180	6371	5
2014.10.17	09:40:00	56200	56300	56120	56235	15920	3668	5
2014.10.17	09:50:00	56230	56245	56105	56205	12250	2710	5
2014.10.17	10:00:00	56205	56265	56145	56190	17700	4412	5
2014.10.17	10:10:00	56195	56230	55965	56040	36040	8215	5
2014.10.17	10:20:00	56045	56300	55890	56200	45230	10943	5
2014.10.17	10:30:00	56205	56255	55665	55730	66110	14740	5
