,opt_list,act1_list,loss_list,filters_list,kernel_list,pool_list,ndense_list,roll_list,lb_list
0,rmsprop,relu,binary_crossentropy,4,2,2,16,20,10
1,rmsprop,relu,binary_crossentropy,4,2,2,16,20,20
2,rmsprop,relu,binary_crossentropy,4,2,2,16,20,50
3,rmsprop,relu,binary_crossentropy,4,2,2,16,20,100
4,rmsprop,relu,binary_crossentropy,4,2,2,16,20,200
5,rmsprop,relu,binary_crossentropy,4,2,2,16,20,500
6,rmsprop,relu,binary_crossentropy,4,2,2,16,50,10
7,rmsprop,relu,binary_crossentropy,4,2,2,16,50,20
8,rmsprop,relu,binary_crossentropy,4,2,2,16,50,50
9,rmsprop,relu,binary_crossentropy,4,2,2,16,50,100
